Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
85361000	Fuses, =<1000 V   .	China	PCS	1639	1791	536
85361000	Fuses, =<1000 V   .	India	PCS	64683	3695	1103
85361000	Fuses, =<1000 V   .	Italy	PCS	2	9	3
85361000	Fuses, =<1000 V   .	Korea, Republic of	PCS	13	81	24
85362000	Automatic circuit breakers, =<1000 V  . .	China	PCS	14136	5407	1619
85362000	Automatic circuit breakers, =<1000 V  . .	Germany	PCS	1	18	5
85362000	Automatic circuit breakers, =<1000 V  . .	India	PCS	198555	52120	14235
85362000	Automatic circuit breakers, =<1000 V  . .	Korea, Republic of	PCS	6752	16080	4816
85362000	Automatic circuit breakers, =<1000 V  . .	Singapore	PCS	1	5	1
85362000	Automatic circuit breakers, =<1000 V  . .	Thailand	PCS	120	721	216
85363000	Apparatus for protecting electrical circui  s, nes, =<1000  V	China	PCS	12	1604	481
85363000	Apparatus for protecting electrical circui  s, nes, =<1000  V	India	PCS	6453	2002	601
85363000	Apparatus for protecting electrical circui  s, nes, =<1000  V	Mexico	PCS	1	31	9
85363000	Apparatus for protecting electrical circui  s, nes, =<1000  V	Taiwan, Province of China	PCS	50	103	31
85364100	Relays for a voltage =<60 V   .	China	PCS	19	34	10
85364100	Relays for a voltage =<60 V   .	India	PCS	6194	1516	424
85364100	Relays for a voltage =<60 V   .	Korea, Republic of	PCS	4	10	3
85364100	Relays for a voltage =<60 V   .	Sweden	PCS	2	339	102
85364100	Relays for a voltage =<60 V   .	Switzerland	PCS	3	5	2
85364900	Relays for a voltage 60-1000 V   .	Australia	PCS	2	15	4
85364900	Relays for a voltage 60-1000 V   .	China	PCS	141832	2969	773
85364900	Relays for a voltage 60-1000 V   .	India	PCS	74054	9566	2588
85364900	Relays for a voltage 60-1000 V   .	Korea, Republic of	PCS	920	891	267
85364900	Relays for a voltage 60-1000 V   .	Romania	PCS	2	14	4
85365000	Switches, nes, =<1000 V   .	China	PCS	747664	23315	7080
85365000	Switches, nes, =<1000 V   .	France	PCS	10	834	250
85365000	Switches, nes, =<1000 V   .	Germany	PCS	37	725	217
85365000	Switches, nes, =<1000 V   .	Hong Kong	PCS	9	16	5
85365000	Switches, nes, =<1000 V   .	India	PCS	649025	31888	9528
85365000	Switches, nes, =<1000 V   .	Indonesia	PCS	5	7	2
85365000	Switches, nes, =<1000 V   .	Italy	PCS	20	41	12
85365000	Switches, nes, =<1000 V   .	Japan	PCS	2	16	0
85365000	Switches, nes, =<1000 V   .	Korea, Republic of	PCS	22	68	20
85365000	Switches, nes, =<1000 V   .	Malta	PCS	2	7	2
85365000	Switches, nes, =<1000 V   .	Not_Specified	PCS	1	64	19
85365000	Switches, nes, =<1000 V   .	Romania	PCS	10	258	77
85365000	Switches, nes, =<1000 V   .	Sweden	PCS	1	17	5
85365000	Switches, nes, =<1000 V   .	Switzerland	PCS	4	56	17
85365000	Switches, nes, =<1000 V   .	Taiwan, Province of China	PCS	3	9	3
85365000	Switches, nes, =<1000 V   .	United Kingdom	PCS	2	8	2
85365000	Switches, nes, =<1000 V   .	United States	PCS	13	63	19
85366100	Lamp-holders, =<1000 V   .	China	PCS	77638	1187	360
85366100	Lamp-holders, =<1000 V   .	India	PCS	7323	261	77
85366900	Plugs and sockets, =<1000 V   .	Austria	PCS	20	55	16
85366900	Plugs and sockets, =<1000 V   .	China	PCS	679326	56229	17007
85366900	Plugs and sockets, =<1000 V   .	Denmark	PCS	3	5	1
85366900	Plugs and sockets, =<1000 V   .	Germany	PCS	1	2	1
85366900	Plugs and sockets, =<1000 V   .	India	PCS	142402	10534	3160
85366900	Plugs and sockets, =<1000 V   .	Italy	PCS	5	36	11
85366900	Plugs and sockets, =<1000 V   .	Korea, Republic of	PCS	50	3	1
85366900	Plugs and sockets, =<1000 V   .	Poland	PCS	28	50	15
85366900	Plugs and sockets, =<1000 V   .	United States	PCS	8	32	10
85367000	Connectors for optical fibres, optical fib  e bundles or cables	China	PCS	126812	62170	18559
85367000	Connectors for optical fibres, optical fib  e bundles or cables	Hungary	PCS	1	0	0
85367000	Connectors for optical fibres, optical fib  e bundles or cables	India	PCS	23906	978	287
85367000	Connectors for optical fibres, optical fib  e bundles or cables	Singapore	PCS	2	3	1
85367000	Connectors for optical fibres, optical fib  e bundles or cables	United States	PCS	2	134	40
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	China	PCS	60979	3537	1090
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	India	PCS	437584	15421	3768
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	Italy	PCS	85	4	1
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	Japan	PCS	2	1	0
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	Korea, Republic of	PCS	40	172	51
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	Qatar	PCS	4	18	5
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	United Arab Emirates	PCS	580	115	34
85369000	Apparatus for switching electrical circ uit , nes, =<1000 V	United States	PCS	5	93	28
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Canada	PCS	1	99	24
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	China	PCS	10273	9840	1658
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Germany	PCS	2	268	65
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Hong Kong	PCS	15	3	1
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Hungary	PCS	2	81	20
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	India	PCS	40063	179019	17646
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Italy	PCS	2	3	1
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Korea, Republic of	PCS	1	92	22
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Not_Specified	PCS	1	75	18
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Papua New Guinea	PCS	4	422	102
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Qatar	PCS	11	14	3
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Romania	PCS	5	8	2
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Slovakia	PCS	1	116	28
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Sweden	PCS	4	122	30
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Switzerland	PCS	2	1855	451
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Taiwan, Province of China	PCS	6	1326	322
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	Thailand	PCS	1	339	82
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	United Kingdom	PCS	2	69	17
85371000	Boards equipped with two or more appara tus of 8535 or 8536, voltage =<1000 V	United States	PCS	7	277	67
85372000	Boards equipped with two or more appara tus of 8535 or 8536, voltage >1000 V.	China	PCS	11	9939	2360
85372000	Boards equipped with two or more appara tus of 8535 or 8536, voltage >1000 V.	India	PCS	832	44634	8127
85381000	Boards desks, cabinets and other bases  for goods of 8537, not equipped	China	PCS	7	219	53
85381000	Boards desks, cabinets and other bases  for goods of 8537, not equipped	India	PCS	192389	24744	5160
85381000	Boards desks, cabinets and other bases  for goods of 8537, not equipped	Taiwan, Province of China	PCS	100	7	2
85389000	Parts of apparatus of 8535 to 8537, nes   .	China	PCS	10127	3258	791
85389000	Parts of apparatus of 8535 to 8537, nes   .	France	PCS	36	136	33
85389000	Parts of apparatus of 8535 to 8537, nes   .	Germany	PCS	2	65	16
85389000	Parts of apparatus of 8535 to 8537, nes   .	India	PCS	502416	21766	4950
85389000	Parts of apparatus of 8535 to 8537, nes   .	Italy	PCS	8	127	31
85389000	Parts of apparatus of 8535 to 8537, nes   .	Sweden	PCS	3	6	1
85391000	Sealed beam lamp units   .	China	PCS	64	116	35
85391000	Sealed beam lamp units   .	India	PCS	1179	392	117
85391000	Sealed beam lamp units   .	United States	PCS	50	75	22
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	China	PCS	2259	610	197
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	Germany	PCS	170	92	28
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	India	PCS	83966	2597	758
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	Japan	PCS	27	266	80
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	Korea, Republic of	PCS	900	254	76
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	United Kingdom	PCS	1	21	6
85392100	Tungsten halogen filament lamps (excl ult r -violet or infra-red lamps)	United States	PCS	1	2	1
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	China	PCS	447180	37267	11162
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	France	PCS	3	1	0
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	Germany	PCS	31	19	6
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	India	PCS	70279	1444	423
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	Italy	PCS	12	4	1
85392900	Filament lamps, nes (excl ultra-violet o r  nfra red lamps)	Slovakia	PCS	28	9	3
85393100	Discharge lamps, other than ultra-violet l  mps, fluorescent, hot cathode	China	PCS	390219	5962	1786
85393100	Discharge lamps, other than ultra-violet l  mps, fluorescent, hot cathode	India	PCS	24	0	0
85393200	Mercury or sodium vapour lamps; metal hali  e lamps	China	PCS	35	241	72
85393200	Mercury or sodium vapour lamps; metal hali  e lamps	India	PCS	1248	322	96
85393200	Mercury or sodium vapour lamps; metal hali  e lamps	United Arab Emirates	PCS	15	3	1
85393900	Discharge lamps, other than ultra-violet l  mps, mercury or sodium vapour lamps,	China	PCS	60456	460	138
85393900	Discharge lamps, other than ultra-violet l  mps, mercury or sodium vapour lamps,	India	PCS	50910	209	62
85393900	Discharge lamps, other than ultra-violet l  mps, mercury or sodium vapour lamps,	Indonesia	PCS	3	344	103
85394100	Arc-lamps  . .	China	PCS	33162	1133	339
85394100	Arc-lamps  . .	India	PCS	7	552	165
85394100	Arc-lamps  . .	Thailand	PCS	1	50	15
85394900	Ultra-violet or infra-red lamps   .	China	PCS	7882	370	110
85394900	Ultra-violet or infra-red lamps   .	India	PCS	125	312	93
85394900	Ultra-violet or infra-red lamps   .	Turkey	PCS	2	1	0
85394900	Ultra-violet or infra-red lamps   .	United Arab Emirates	PCS	2	2	1
85394900	Ultra-violet or infra-red lamps   .	United States	PCS	10	112	34
85395100	Light-emitting diode (LED) modules	China	PCS	146685	11007	3555
85395100	Light-emitting diode (LED) modules	India	PCS	31622	1726	513
85395200	Light-emitting diode (LED) lamps	China	PCS	236150	10987	3291
85395200	Light-emitting diode (LED) lamps	India	PCS	26105	5421	1583
85395200	Light-emitting diode (LED) lamps	Italy	PCS	1	1086	325
85399000	Parts for electric filament or discharge l  mps	China	PCS	1163265	12204	3033
85399000	Parts for electric filament or discharge l  mps	India	PCS	208484	2311	566
85402000	Television camera tubes; image converters/  ntensifiers; photo-cathode tubes.	India	PCS	6	1	0
85408100	Receiver or amplifier valves and tubes   .	United Arab Emirates	PCS	1	3	1
85409900	Parts of tubes and valves of 8540 (excl  pa ts of cathode-ray tubes).	India	PCS	16	105	31
85411000	Diodes (excl photosensitive or light emit t ng diodes)	China	PCS	1	7	1
85411000	Diodes (excl photosensitive or light emit t ng diodes)	India	PCS	22	122	3
85412900	Transistors (excl phototransistors), with    dissipation rate >=1w	India	PCS	140	259	34
85412900	Transistors (excl phototransistors), with    dissipation rate >=1w	Malaysia	PCS	3	63	8
85413000	Thyristors, diacs and triacs, other than p  otosensitive devices.	India	PCS	13	88	11
85414100	Light-emitting diodes (LED)	China	PCS	13	10	1
85414100	Light-emitting diodes (LED)	Germany	PCS	3	8	1
85414100	Light-emitting diodes (LED)	India	PCS	1626	169	22
85414300	Photovoltaic cells assembled in modules or made up into panels	United States	PCS	1	29	4
85414910	Solar Panel and Module	China	PCS	4801	76666	0
85414910	Solar Panel and Module	India	PCS	1958	22213	0
85415100	Semiconductor-based transducers	China	PCS	4	9	3
85415100	Semiconductor-based transducers	India	PCS	1	13	4
85415900	Other	India	PCS	3115	23	7
85416000	Mounted piezo-electric crystals   .	China	PCS	1	0	0
85419000	Parts of devices of 8541  . .	India	PCS	81	177	23
85423100	Processors and controllers, whether or not  combined with memories, converters, l	China	PCS	556	561	73
85423100	Processors and controllers, whether or not  combined with memories, converters, l	India	PCS	5	7	2
85423100	Processors and controllers, whether or not  combined with memories, converters, l	Saudi Arabia	PCS	360	37	5
85423200	Memories	China	PCS	161	559	73
85423200	Memories	India	PCS	1	50	6
85423300	Amplifiers	China	PCS	1401	22	3
85423300	Amplifiers	India	PCS	47	88	13
85423900	Other electronic integrated circutes (ICs)	China	PCS	402	103	13
85423900	Other electronic integrated circutes (ICs)	Hong Kong	PCS	1	5	1
85423900	Other electronic integrated circutes (ICs)	India	PCS	4490	33	4
85429000	Parts of electronic integrated circuits (h  ading 8542)	China	PCS	5	1	0
85429000	Parts of electronic integrated circuits (h  ading 8542)	India	PCS	269	88	11
85431000	Particle accelerators	China	PCS	11	3	1
85431000	Particle accelerators	India	PCS	3	129	31
85432000	Signal generators	China	PCS	5	26	15
85433000	Machines/apparatus for electroplating, electrolysis or electrophoresis	China	PCS	6	30	4
85433000	Machines/apparatus for electroplating, electrolysis or electrophoresis	India	PCS	3	129	17
85434000	Electronic cigarettes and similar personal electric vaporising devices	China	PCS	128158	6945	4126
85434000	Electronic cigarettes and similar personal electric vaporising devices	Germany	PCS	2	31	17
85434000	Electronic cigarettes and similar personal electric vaporising devices	Malaysia	PCS	780	94	51
85434000	Electronic cigarettes and similar personal electric vaporising devices	United Arab Emirates	PCS	301	91	50
85434000	Electronic cigarettes and similar personal electric vaporising devices	United States	PCS	11266	373	482
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	China	PCS	76483	3175	1758
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	Germany	PCS	2	134	73
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	Hong Kong	PCS	1224	18	10
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	Hungary	PCS	5	214	116
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	India	PCS	139	1027	558
85437000	Other machines and apparatus having indivi  ual function, not specified in this c	United States	PCS	490	6	3
85439000	Parts of electrical machines/apparatus wit   individual functions, nes	China	PCS	237	13	2
85439000	Parts of electrical machines/apparatus wit   individual functions, nes	India	PCS	58	575	75
85439000	Parts of electrical machines/apparatus wit   individual functions, nes	Italy	PCS	1	497	65
85439000	Parts of electrical machines/apparatus wit   individual functions, nes	United States	PCS	1	3	0
85441100	Winding wire of copper	China	MTR	159091	1648	494
85441100	Winding wire of copper	India	MTR	37134	1107	333
85441900	Winding wire (excl of copper)	China	MTR	44940	2251	668
85441900	Winding wire (excl of copper)	India	MTR	1203029	8568	2536
85441900	Winding wire (excl of copper)	Italy	MTR	1	8	3
85441900	Winding wire (excl of copper)	Japan	MTR	20	65	19
85441900	Winding wire (excl of copper)	United States	MTR	1	3	1
85442000	Co-axial cable and other co-axial electric  conductors.	Brazil	MTR	1	3	1
85442000	Co-axial cable and other co-axial electric  conductors.	Canada	MTR	90	113	34
85442000	Co-axial cable and other co-axial electric  conductors.	China	MTR	801978	17338	5371
